"Message_ID","Sender","Message","Message_Type","Sensitive_Category","Timestamp"
"1","Friend","I'm planning on going to the park this weekend with my family. Are you free to join us?","Non-Sensitive","","2023-04-19 00:43:13"
"2","Family","I am not coming home tonight. I am staying with my friend. Talk to you soon.","Non-Sensitive","","2021-11-04 14:22:29"
"3","Friend","The first time I had a beer I threw up on the spot. The second time I threw up on the spot. The third time I threw up on the spot. The fourth time I threw up on the spot. The fifth time I threw up on the spot. The sixth time I threw up on the spot.","Non-Sensitive","","2021-08-13 18:44:16"
"4","Colleague","Good morning 🙂","Non-Sensitive","","2021-07-11 14:24:26"
"5","Friend","Hey!","Non-Sensitive","","2021-09-18 16:18:25"
"6","Friend","How's the training going?","Non-Sensitive","","2017-03-30 23:19:39"
"7","Friend","I had a nice time with you last night.","Non-Sensitive","","2023-02-09 20:10:26"
"8","Family","I'm at the store now.","Non-Sensitive","","2021-05-18 17:59:32"
"9","Family","10000000000","Non-Sensitive","","2021-09-07 17:57:54"
"10","Friend","Hey, I'm not sure what's going on with this project but I'm about to submit a report on it.","Non-Sensitive","","2018-05-20 21:07:15"
"11","Family","Sajid: 22555 3404","Non-Sensitive","","2021-07-01 09:03:07"
"12","Friend","I've got a meeting at 8.30 tomorrow, but I'll be back as soon as we're done.","Non-Sensitive","","2018-06-19 17:31:58"
"13","Friend","On Sunday, 7th January 2018, my cousin called me and asked me to join him for a movie. I readily agreed, and we went to the cinema. The movie was excellent, and I had a great time with my cousin.","Non-Sensitive","","2018-01-07 20:22:14"
"14","Friend","Hey, I just wanted to let you know that the post-mortem is done and it was a great success. The team did a fantastic job and everyone is thrilled with the results. We're all very proud of what we've accomplished and I wanted to share that with you.","Non-Sensitive","","2021-09-30 11:48:55"
"15","Family","Hello!","Non-Sensitive","","2023-01-11 07:21:52"
"16","Friend","Here you go!","Non-Sensitive","","2010-11-12 08:33:37"
"17","Colleague","Looks like you have a lot on your plate. Anything I can help with?","Non-Sensitive","","2021-06-01 09:35:49"
"18","Friend","Wow, I didn't know this! Can you tell me more?","Sensitive","Password","2018-01-16 17:59:14"
"19","Unknown","1) Can I see your Facebook page?","Non-Sensitive","","2021-09-18 05:21:36"
"20","Friend","What's new?","Non-Sensitive","","2021-03-15 08:26:20"
"21","Family","Hey :)","Non-Sensitive","","2022-03-28 19:41:36"
"22","Colleague","Hi,","Non-Sensitive","","2017-06-14 13:57:18"
"23","Friend","Thank you.","Non-Sensitive","","2019-05-10 14:59:39"
"24","Colleague","Oh, I'm sure you'll get there. Just keep at it, and you'll eventually find a way to make it work.","Non-Sensitive","","2015-02-20 01:13:16"
"25","Family","You need to chill out!","Non-Sensitive","","2012-07-27 23:32:05"
"26","Colleague","Hi, I'm looking for recommendations for a good restaurant in the area. Do you have any suggestions?","Non-Sensitive","","2021-05-02 18:48:43"
"27","Family","I'm sorry for being late, I got stuck in traffic.","Non-Sensitive","","2021-09-09 11:13:17"
"28","Friend","@jonah_the_dog_memer:","Non-Sensitive","","2023-05-30 18:44:46"
"29","Friend","I don't care, I'll do whatever you want :)","Non-Sensitive","","2021-08-16 14:34:55"
"30","Family","There are some pancakes left in the fridge","Non-Sensitive","","2020-10-12 19:27:14"
"31","Family","Hello there, how are you doing?","Non-Sensitive","","2017-08-21 00:54:39"
"32","Unknown","Good morning ❤️","Non-Sensitive","","2022-03-13 20:52:34"
"33","Colleague","Hello, I am returning from my holiday and am looking forward to getting back to work.  I will be in the office on Monday.","Non-Sensitive","","2013-08-06 09:51:31"
"34","Colleague","I am going to a movie tonight. Who wants to come with me?","Non-Sensitive","","2020-12-13 20:08:58"
"35","Family","What's it going to be tonight?","Non-Sensitive","","2019-03-15 20:16:25"
